task_id,uid,status,runner,lane,elapsed_s,goose_total_tokens,shell_command_count,submit_answer_count,answer_write_count,has_exception,report_json,report_md,events_jsonl
officeqa-uid0029,UID0029,failed,officeqa-big-runner-02,,682.763,62930,43,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0029.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0029.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0029.jsonl
officeqa-uid0030,UID0030,failed,officeqa-big-runner-02,,166.036,16993,16,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0030.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0030.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0030.jsonl
officeqa-uid0031,UID0031,passed,officeqa-big-runner-02,,370.946,42854,46,0,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0031.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0031.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0031.jsonl
officeqa-uid0032,UID0032,passed,officeqa-big-runner-02,,397.027,21258,12,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0032.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0032.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0032.jsonl
officeqa-uid0033,UID0033,passed,officeqa-big-runner-01,,171.089,17428,8,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0033.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0033.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0033.jsonl
officeqa-uid0034,UID0034,failed,officeqa-big-runner-01,,900.658,,85,0,0,True,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0034.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0034.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0034.jsonl
officeqa-uid0035,UID0035,failed,officeqa-big-runner-01,,401.738,40242,38,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0035.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0035.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0035.jsonl
officeqa-uid0036,UID0036,failed,officeqa-big-runner-01,,261.046,28573,32,1,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0036.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0036.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0036.jsonl
officeqa-uid0037,UID0037,failed,officeqa-big-runner-02,,820.48,87545,106,2,0,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0037.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0037.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0037.jsonl
officeqa-uid0038,UID0038,failed,officeqa-big-runner-02,,402.966,53928,76,1,1,False,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0038.json,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/reports/UID0038.md,/Users/jwalinshah/projects/officeqa-arena/results/runner_pool/pool-20260402T094504Z/deep_trials/events/UID0038.jsonl
